,sku,remaining_stock,cost_price,notation_3,name,minimum_group_price,minimum_markup,weight,name_of_shop,settlement_price,automatic_price_management,length,group_sellers_amount,price_before_discount,manual_control_min_price,width,parches,profit,id,height,settlement_price_factor,payback,volume_from_yandex,volume,notation_1,photo,notation_2
73,0028491,0,215.0,,Плоскостной сучкорез с шестеренчатым механизмом 750 мм SK5 AL SKRAB 28491,0.0,200.0,1.1,,516.0,True,21.0,0,619.2,False,3.0,43.0,201.0,75,78.0,2.4,106.9651741294,0.0,49.14,,https://avatars.mds.yandex.net/get-marketpic/7012904/pic3900ab8dfc05bb3b38cadaa33565d0de/orig,
74,0028496,2,390.0,,Сучкорез 710мм плоскостной SK5 AL 28496,0.0,200.0,1.1,,936.0,True,72.0,0,1123.2,False,23.0,78.0,446.0,76,2.0,2.4,87.4439461883,0.0,33.12,,https://avatars.mds.yandex.net/get-marketpic/8167191/pic629870c3e22c135b83fcac4b9e3925c3/orig,
75,02222B01,0,210.0,,Очиститель для монтажной пены Bauset TH 500мл,0.0,200.0,0.493,,504.0,True,6.7,0,604.8,False,6.7,42.0,194.0,77,22.5,2.4,108.2474226804,0.0,10.10025,,https://avatars.mds.yandex.net/get-marketpic/6025495/pic3bb407d889b1908182a6436c1eb996f0/orig,
76,028064,0,495.0,,Грабли веерные SKRAB 28064 раздвижные,0.0,200.0,0.94,,1188.0,True,79.0,0,1425.6,False,19.0,99.0,593.0,78,6.0,2.4,83.4738617201,0.0,90.06,,,
77,20068,0,360.0,,Молоток-гвоздодер с фибер.ручкой оранж. 450г SKRAB 20068,0.0,200.0,0.45,,864.0,True,32.5,0,1036.8,False,13.5,72.0,404.0,79,3.0,2.4,89.1089108911,0.0,13.1625,,https://avatars.mds.yandex.net/get-marketpic/8963966/pic0db944891013d014b650d6c4abbffdbe/orig,
78,20069,0,290.0,,Молоток-гвоздодер с фибер.ручкой оранж. 560г SKRAB 20069,0.0,200.0,0.789,,696.0,True,2.5,0,835.2,False,34.0,58.0,306.0,80,14.0,2.4,94.7712418301,0.0,11.9,,https://avatars.mds.yandex.net/get-marketpic/1451847/picca30925b311a84697dca0cc1280954d7/orig,
79,20086,0,220.0,,Молоток кровельщика с фибер.ручкой оранж.600г SKRAB 20086,0.0,200.0,0.758,,528.0,True,30.0,0,633.6,False,15.0,44.0,208.0,81,7.0,2.4,105.7692307692,0.0,31.5,,https://avatars.mds.yandex.net/get-marketpic/8604689/picadab60d7bf0ea925e83263ebc36725c1/orig,
80,20100,1,430.0,, КИЯНКА 230 Г (БЕЛАЯ РЕЗИНА) С ФИБЕРГЛАССОВОЙ РУЧКОЙ SKRAB 20100,0.0,200.0,0.39,,1032.0,True,29.0,0,1238.4,False,8.0,86.0,502.0,82,5.0,2.4,85.6573705179,0.0,11.6,,,
81,20101,0,165.0,,КИЯНКА 340 Г (БЕЛАЯ РЕЗИНА) С ФИБЕРГЛАССОВОЙ РУЧКОЙ SKRAB 20101,0.0,200.0,0.5,,596.0,True,30.0,0,715.2,False,9.0,33.0,331.0,83,5.0,2.4,49.8489425982,0.0,13.5,,,
82,20108,2,390.0,,КИЯНКА 65 ММ 500Г БЕЛАЯ ДЕРЕВЯННАЯ РУЧКА SKRAB 20108,0.0,200.0,0.77,,936.0,True,34.0,0,1123.2,False,11.0,78.0,446.0,84,6.0,2.4,87.4439461883,0.0,22.44,,,
83,20109,2,435.0,,КИЯНКА 90 ММ 970Г БЕЛАЯ ДЕРЕВЯННАЯ РУЧКА SKRAB 20109,0.0,200.0,1.0,,1044.0,True,10.0,0,1252.8,False,10.0,87.0,509.0,85,5.0,2.4,85.4616895874,0.0,5.0,,,
84,20111,0,460.0,,"Топор 600г с деревянной ручкой ""ПЛОТНИК"" SKRAB 20111",0.0,200.0,0.8,,1104.0,True,30.0,0,1324.8,False,20.0,92.0,544.0,86,5.0,2.4,84.5588235294,0.0,30.0,,https://cdn1.ozone.ru/s3/multimedia-z/6799684895.jpg,
85,20112,0,375.0,,"Топор 800г с деревянной ручкой ""ПЛОТНИК"" SKRAB 20112",0.0,200.0,0.8,,900.0,True,41.0,0,1080.0,False,17.0,75.0,425.0,87,3.0,2.4,88.2352941176,0.0,20.91,,https://cdn1.ozone.ru/s3/multimedia-z/6799684895.jpg,
86,20113,0,425.0,,"Топор 1000г с деревянной ручкой ""ПЛОТНИК"" SKRAB 20113",0.0,200.0,1.322,,1020.0,True,42.4,0,1224.0,False,21.3,85.0,495.0,88,3.9,2.4,85.8585858586,0.0,35.22168,,https://cdn1.ozone.ru/s3/multimedia-z/6799684895.jpg,
87,20118,0,305.0,,"Топор 1250г с деревянной ручкой ""ПЛОТНИК"" SKRAB 20118",0.0,200.0,1.5,,732.0,True,50.0,0,878.4,False,30.0,61.0,327.0,89,5.0,2.4,93.2721712538,0.0,75.0,,https://cdn1.ozone.ru/s3/multimedia-8/6799684400.jpg,
88,20141,0,460.0,,Топор 600г с фибр.ручкой зелено-черный SKRAB 20141,0.0,200.0,0.935,,1104.0,True,35.0,0,1324.8,False,15.0,92.0,544.0,90,2.0,2.4,84.5588235294,0.0,10.5,,https://cdn1.ozone.ru/s3/multimedia-p/6799684453.jpg,
89,20149,0,75.0,,Топор-колун 2000г с фибр. ручкой удлиненый SKRAB 20149,0.0,200.0,2.86,,380.0,True,85.0,0,456.0,False,20.0,15.0,205.0,91,3.5,2.4,36.5853658537,0.0,59.5,,https://cdn1.ozone.ru/s3/multimedia-w/6799685828.jpg,
90,20152,0,30.0,,Кувалда с защитой 1250г дер.ручка SKRAB 20152,0.0,200.0,1.3,,272.0,True,26.0,0,326.4,False,10.0,6.0,142.0,92,4.0,2.4,21.1267605634,0.0,10.4,,https://avatars.mds.yandex.net/get-marketpic/6901655/picca1cb0e6a9d0d9325efe3462d83fd91c/orig,
91,20153,1,385.0,,Кувалда с защитой 1500г дер.ручка SKRAB 20153,0.0,200.0,1.5,,924.0,True,4.0,0,1108.8,False,11.0,77.0,439.0,93,28.0,2.4,87.6993166287,0.0,12.32,,,
92,20241,0,480.0,,Молоток 100г с фибер. ручкой оранж. SKRAB 20241,0.0,200.0,0.2,,1152.0,True,28.0,0,1382.4,False,10.0,96.0,572.0,94,2.0,2.4,83.9160839161,0.0,5.6,,,
93,20245,0,230.0,,Молоток 500г с фибер. ручкой оранж. SKRAB 20245,0.0,200.0,0.63,,552.0,True,30.0,0,662.4,False,2.0,46.0,222.0,95,10.0,2.4,103.6036036036,0.0,6.0,,,
94,20248,0,250.0,,Молоток 800г с фибер. ручкой оранж. SKRAB 20248,0.0,200.0,1.0,,600.0,True,34.0,0,720.0,False,13.0,50.0,250.0,96,3.0,2.4,100.0,0.0,13.26,,,
95,20256,1,220.0,,Кувалда 1250г с фибер. ручкой оранж. SKRAB 20256,0.0,200.0,1.44,,528.0,True,25.0,0,633.6,False,10.0,44.0,208.0,97,4.0,2.4,105.7692307692,0.0,10.0,,,
96,20340,0,150.0,,Топор 440 гр фиберглассовая ручка SKRAB 20340,0.0,200.0,0.67,,560.0,True,30.0,0,672.0,False,17.0,30.0,310.0,98,2.0,2.4,48.3870967742,0.0,10.2,,https://cdn1.ozone.ru/s3/multimedia-m/6799684846.jpg,
97,20341,0,105.0,,Топор 630 гр фиберглассовая ручка SKRAB 20341,0.0,200.0,1.135,,452.0,True,20.3,0,542.4,False,53.3,21.0,247.0,99,3.5,2.4,42.5101214575,0.0,37.86965,,https://cdn1.ozone.ru/s3/multimedia-y/6799684174.jpg,
98,20347,0,35.0,,Топор 1650 гр фиберглассовая ручка SKRAB 20347,0.0,200.0,1.7,,284.0,True,100.0,0,340.8,False,15.0,7.0,149.0,100,15.0,2.4,23.4899328859,0.0,225.0,,https://cdn1.ozone.ru/s3/multimedia-n/6799687259.jpg,
99,00027032,0,75.0,string,"Метла SKRAB круглая (27032), синий",0.0,0.0,0.38,,380.0,True,46.0,0,456.0,False,15.0,15.0,205.0,1,9.0,0.0,36.5853658537,0.0,62.1,123123123123123,https://avatars.mds.yandex.net/get-marketpic/246300/pic95e07fc2fe3cd31cd0a79ab9a19cdd44/orig,string
